crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	125.629196	1812	0.000000
281474976710655.000000	122.088463	1813	0.000000
281474976710655.000000	117.211639	1814	0.000000
281474976710655.000000	Inf	1815	0.000000
281474976710655.000000	106.308334	1816	0.000000
281474976710655.000000	101.577011	1817	0.000000
281474976710655.000000	51.234608	1818	0.000000
281474976710655.000000	94.229637	1819	0.000000
281474976710655.000000	96.757080	1820	0.000000
281474976710655.000000	89.414070	1821	0.000000
281474976710655.000000	42.935329	1822	0.000000
281474976710655.000000	87.574829	1823	0.000000
281474976710655.000000	81.370323	1824	0.000000
281474976710655.000000	51.841747	1825	0.000000
281474976710655.000000	75.744347	1826	0.000000
281474976710655.000000	71.702690	1827	0.000000
281474976710655.000000	67.584618	1828	0.000000
281474976710655.000000	63.781761	1829	0.000000
281474976710655.000000	59.589367	1830	0.000000
281474976710655.000000	62.705658	1831	0.000000
281474976710655.000000	42.107048	1832	0.000000
281474976710655.000000	44.371994	1833	0.000000
281474976710655.000000	62.700214	1834	0.000000
281474976710655.000000	37.416088	1835	0.000000
281474976710655.000000	41.468895	1836	0.000000
281474976710655.000000	50.245937	1837	0.000000
281474976710655.000000	48.161045	1838	0.000000
281474976710655.000000	49.069202	1839	0.000000
281474976710655.000000	39.256046	1840	0.000000
281474976710655.000000	37.165401	1841	0.000000
281474976710655.000000	50.013062	1842	0.000000
281474976710655.000000	34.644299	1843	0.000000
281474976710655.000000	35.476074	1844	0.000000
281474976710655.000000	44.205643	1845	0.000000
281474976710655.000000	31.911741	1846	0.000000
281474976710655.000000	32.121685	1847	0.000000
281474976710655.000000	29.199949	1848	0.000000
281474976710655.000000	34.630646	1849	0.000000
281474976710655.000000	27.990570	1850	0.000000
281474976710655.000000	31.489658	1851	0.000000
281474976710655.000000	24.711525	1852	0.000000
281474976710655.000000	27.647606	1853	0.000000
281474976710655.000000	27.605513	1854	0.000000
281474976710655.000000	23.944992	1855	0.000000
281474976710655.000000	22.095041	1856	0.000000
281474976710655.000000	22.257029	1857	0.000000
281474976710655.000000	20.338297	1858	0.000000
281474976710655.000000	22.082945	1859	0.000000
281474976710655.000000	20.069223	1860	0.000000
281474976710655.000000	20.573072	1861	0.000000
281474976710655.000000	18.364349	1862	0.000000
281474976710655.000000	18.903585	1863	0.000000
