crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	428	0.000000
281474976710655.000000	124.902100	429	0.000000
281474976710655.000000	106.250214	430	0.000000
281474976710655.000000	101.666382	431	0.000000
281474976710655.000000	171.661209	432	0.000000
281474976710655.000000	83.125549	433	0.000000
281474976710655.000000	47.757111	434	0.000000
281474976710655.000000	44.062565	435	0.000000
281474976710655.000000	46.954288	436	0.000000
281474976710655.000000	55.233852	437	0.000000
281474976710655.000000	45.377224	438	0.000000
281474976710655.000000	36.627937	439	0.000000
281474976710655.000000	39.934364	440	0.000000
281474976710655.000000	28.489262	441	0.000000
281474976710655.000000	30.193052	442	0.000000
281474976710655.000000	23.428318	443	0.000000
281474976710655.000000	22.014639	444	0.000000
281474976710655.000000	18.658409	445	0.000000
281474976710655.000000	16.857414	446	0.000000
281474976710655.000000	15.553404	447	0.000000
281474976710655.000000	12.783163	448	0.000000
281474976710655.000000	11.408904	449	0.000000
281474976710655.000000	10.162741	450	0.000000
281474976710655.000000	8.737055	451	0.000000
281474976710655.000000	7.686139	452	0.000000
281474976710655.000000	6.912806	453	0.000000
281474976710655.000000	6.057968	454	0.000000
281474976710655.000000	5.207643	455	0.000000
281474976710655.000000	4.534375	456	0.000000
281474976710655.000000	3.934167	457	0.000000
281474976710655.000000	3.294528	458	0.000000
281474976710655.000000	2.804915	459	0.000000
281474976710655.000000	2.678017	460	0.000000
281474976710655.000000	1.825905	461	0.000000
281474976710655.000000	1.386209	462	0.000000
281474976710655.000000	1.126509	463	0.000000
